index,Rank,Twitter,Followers,Market Cap (ETH),MCap/Follower (ETH),Volume (ETH),Share Price (ETH),Share/Follower (ETH),Supply,Buys,Sells,Traders,Trades
875,855,Prodigy__Sniper,31509,1.52,4.8e-05,1.93,0.05,2e-06,29,40,11.0,16,27
876,855,mattysino,43795,1.52,3.5e-05,6.4,0.05,1e-06,29,93,64.0,64,136
877,855,rektcryptofox,3772,1.52,0.000404,2.67,0.05,1.4e-05,29,61,32.0,38,82
878,855,erla221942,108412,1.52,1.4e-05,2.88,0.05,0.0,29,84,55.0,74,139
880,855,0xAnteater,5679,1.52,0.000268,1.02,0.05,9e-06,29,37,8.0,15,35
881,855,CryptoPoseidonn,42,1.52,0.036293,8.7,0.05,0.001251,29,80,51.0,42,91
882,883,Mothalamp,3213,1.42,0.000443,1.24,0.05,1.6e-05,28,39,11.0,16,32
883,883,OuroborosCap8,17422,1.42,8.2e-05,6.49,0.05,3e-06,28,106,78.0,67,183
884,885,champtgram,18885,1.42,7.5e-05,21.05,0.05,3e-06,29,125,96.0,53,126
885,885,sm0lx,111166,1.42,1.3e-05,1.62,0.05,0.0,29,59,30.0,45,89
886,885,CryptoAnglio,1627,1.42,0.000873,7.3,0.05,3e-05,29,105,76.0,68,157
887,885,Crypto_WooPig,69998,1.42,2e-05,4.86,0.05,1e-06,29,67,38.0,48,101
888,885,CryptoGemCheds,2784,1.42,0.00051,0.8,0.05,1.8e-05,29,33,4.0,17,37
889,885,Deviled_meggs_,2925,1.42,0.000486,3.05,0.05,1.7e-05,29,57,28.0,35,77
890,885,trdrtur,615,1.42,0.002311,1.83,0.05,8e-05,29,48,19.0,30,67
891,885,kirbyongeo,19446,1.42,7.3e-05,2.73,0.05,3e-06,29,63,34.0,36,97
892,885,YanLiberman,42394,1.42,3.4e-05,7.46,0.05,1e-06,29,88,59.0,50,102
895,885,ChartFuMonkey,7920,1.42,0.000179,5.57,0.05,6e-06,29,113,84.0,77,174
896,885,k2_nft,37821,1.42,3.8e-05,2.43,0.05,1e-06,29,69,40.0,38,107
897,885,Jampzer,878,1.42,0.001618,8.01,0.05,5.6e-05,29,97,68.0,53,103
898,885,SmokeyHosoda,36640,1.42,3.9e-05,4.52,0.05,1e-06,29,95,66.0,76,156
899,885,RowanRK6,31129,1.42,4.6e-05,2.0,0.05,2e-06,29,63,34.0,42,93
900,885,0xAbel_eth,1614,1.42,0.00088,1.19,0.05,3e-05,29,37,8.0,26,44
901,885,WilsonCusack,16016,1.42,8.9e-05,1.68,0.05,3e-06,29,60,31.0,45,91
902,885,pikachu_crypto,2027,1.42,0.000701,4.28,0.05,2.4e-05,29,73,44.0,52,116
903,904,swansonbenson0,7505,1.37,0.000183,2.54,0.05,7e-06,28,55,27.0,37,76
904,904,NFT_Doctor33,530,1.37,0.002589,5.5,0.05,9.2e-05,28,76,48.0,49,108
905,904,OL20225358,18392,1.37,7.5e-05,5.41,0.05,3e-06,28,76,48.0,41,79
906,904,kez4twez,851,1.37,0.001612,2.75,0.05,5.8e-05,28,70,42.0,48,103
907,904,William11Chan,39702,1.37,3.5e-05,2.31,0.05,1e-06,28,81,53.0,54,131
908,904,Stillm4n,752,1.37,0.001824,3.98,0.05,6.5e-05,28,63,35.0,37,80
909,904,satributes,40419,1.37,3.4e-05,1.21,0.05,1e-06,28,51,23.0,28,62
910,904,0x_charlemagne,7192,1.37,0.000191,2.19,0.05,7e-06,28,73,45.0,55,109
911,904,MoonGotchi,77762,1.37,1.8e-05,0.96,0.05,1e-06,28,47,19.0,37,66
912,904,SankoGameCorp,43860,1.37,3.1e-05,20.43,0.05,1e-06,28,165,137.0,101,272
913,904,NicCageWaluElmo,76480,1.37,1.8e-05,1.91,0.05,1e-06,28,48,20.0,16,62
914,904,TikTokInvestors,576,1.37,0.002382,14.17,0.05,8.5e-05,28,109,81.0,68,165
915,904,revolut20,15220,1.37,9e-05,8.96,0.05,3e-06,28,98,70.0,57,108
916,904,Ars0nic,2550,1.37,0.000538,1.56,0.05,1.9e-05,28,46,18.0,26,57
917,904,GinoTheGhost,124864,1.37,1.1e-05,2.27,0.05,0.0,28,62,34.0,46,92
918,904,Degentraland,3498,1.37,0.000392,12.48,0.05,1.4e-05,28,95,67.0,38,94
919,904,rugsharkd,6912,1.37,0.000198,3.73,0.05,7e-06,28,98,70.0,70,157
920,904,Yodaskk,48805,1.37,2.8e-05,2.18,0.05,1e-06,28,60,32.0,38,88
921,904,defiprincess_,3194,1.37,0.00043,4.82,0.05,1.5e-05,28,79,51.0,43,89
922,904,quant_arb,45483,1.37,3e-05,5.31,0.05,1e-06,28,65,37.0,25,64
923,904,cryptopainzy,3183,1.37,0.000431,1.06,0.05,1.5e-05,28,34,6.0,12,21
924,904,flippen6485,62426,1.37,2.2e-05,3.3,0.05,1e-06,28,63,35.0,51,98
925,904,Abrahamchase09,816,1.37,0.001681,3.64,0.05,6e-05,28,84,56.0,62,118
926,904,d1pp3r__,179959,1.37,8e-06,2.78,0.05,0.0,28,60,32.0,43,89
928,904,EffortCapital,5085,1.37,0.00027,1.89,0.05,1e-05,28,65,37.0,48,92
929,904,nftmisha,0,1.37,0.0,6.09,0.05,0.0,28,100,72.0,65,147
930,904,meleern,0,1.37,0.0,5.86,0.05,0.0,28,76,48.0,54,116
931,904,officer_cia,0,1.37,0.0,7.4,0.05,0.0,28,75,47.0,41,68
932,904,Arch_Crypt0,0,1.37,0.0,1.63,0.05,0.0,28,55,27.0,32,77
933,904,WuBlockchain,0,1.37,0.0,12.82,0.05,0.0,28,124,96.0,83,177
934,935,wgm_v,0,1.28,0.0,1.32,0.05,0.0,28,55,27.0,47,82
935,935,CoingraphNews,0,1.28,0.0,3.19,0.05,0.0,28,49,21.0,13,46
936,935,fluffypony,0,1.28,0.0,3.89,0.05,0.0,28,69,41.0,31,81
937,935,BOKJISA_Crypto,0,1.28,0.0,0.91,0.05,0.0,28,41,13.0,29,54
938,935,Gold_Cryptoz,0,1.28,0.0,8.54,0.05,0.0,28,79,51.0,50,115
939,935,earlyishadopter,0,1.28,0.0,7.78,0.05,0.0,28,128,100.0,90,217
940,935,ajt,0,1.28,0.0,3.42,0.05,0.0,28,69,41.0,41,83
941,935,CryptoParadyme,0,1.28,0.0,11.37,0.05,0.0,28,94,66.0,59,136
942,935,0xTG3,0,1.28,0.0,1.32,0.05,0.0,28,50,22.0,34,70
943,935,SatoshiOwl,0,1.28,0.0,8.69,0.05,0.0,28,106,78.0,64,125
944,935,delitzer,0,1.28,0.0,3.29,0.05,0.0,28,74,46.0,43,120
945,935,knveth,0,1.28,0.0,1.56,0.05,0.0,28,59,31.0,54,90
946,935,FriendTechInfo,0,1.28,0.0,0.76,0.05,0.0,28,33,5.0,12,38
947,935,lemondontfloss,0,1.28,0.0,2.1,0.05,0.0,28,55,27.0,40,73
948,935,rizzotoo,0,1.28,0.0,1.69,0.05,0.0,28,59,31.0,32,53
949,935,Edward__Park,0,1.28,0.0,3.59,0.05,0.0,28,76,48.0,62,124
950,935,Atitty_,0,1.28,0.0,4.75,0.05,0.0,28,79,51.0,36,94
951,935,icygobrrr,0,1.28,0.0,0.87,0.05,0.0,28,42,14.0,40,56
952,935,nateliason,0,1.28,0.0,8.33,0.05,0.0,28,89,61.0,34,67
953,935,DEXLaboratory4,0,1.28,0.0,1.01,0.05,0.0,28,51,23.0,34,68
954,935,0xpotato3,0,1.28,0.0,1.6,0.05,0.0,28,60,32.0,47,90
955,935,Stacco__,0,1.28,0.0,1.01,0.05,0.0,28,39,11.0,24,41
956,935,ppmctweets,0,1.28,0.0,3.17,0.05,0.0,28,70,42.0,57,112
958,935,Dogetoshi,0,1.28,0.0,8.61,0.05,0.0,28,152,124.0,103,266
959,960,andreasrtobing_,0,1.23,0.0,0.79,0.05,0.0,27,35,8.0,29,43
961,960,0xAtomist,0,1.23,0.0,1.08,0.05,0.0,27,41,14.0,25,47
962,960,zepump,0,1.23,0.0,0.68,0.05,0.0,27,33,6.0,16,39
963,960,oesnetwork,0,1.23,0.0,2.88,0.05,0.0,27,65,38.0,34,80
964,960,randallrungood,0,1.23,0.0,2.83,0.05,0.0,27,54,27.0,37,79
965,960,mattomattik,0,1.23,0.0,4.75,0.05,0.0,27,83,56.0,57,136
966,960,DeFi_Made_Here,0,1.23,0.0,5.16,0.05,0.0,27,85,58.0,61,117
967,960,mikeykremer,0,1.23,0.0,1.04,0.05,0.0,27,52,25.0,31,68
968,960,merts_eth,0,1.23,0.0,1.04,0.05,0.0,27,52,25.0,38,67
969,960,javajrr,0,1.23,0.0,1.77,0.05,0.0,27,58,31.0,43,89
970,960,0xbags,0,1.23,0.0,1.24,0.05,0.0,27,62,35.0,43,77
971,960,zharkov_crypto,0,1.23,0.0,1.36,0.05,0.0,27,42,15.0,27,52
972,960,CryptoEthan,0,1.23,0.0,5.01,0.05,0.0,27,93,66.0,70,159
974,960,LINTZURA,0,1.23,0.0,1.12,0.05,0.0,27,39,12.0,20,51
975,960,mememe69696969,0,1.23,0.0,6.1,0.05,0.0,27,116,89.0,75,200
977,960,TraderTR1,0,1.23,0.0,2.41,0.05,0.0,27,47,20.0,39,67
978,960,jbrukh,0,1.23,0.0,1.89,0.05,0.0,27,55,28.0,31,55
979,960,fiveoutofnine,0,1.23,0.0,0.96,0.05,0.0,27,43,16.0,24,47
980,960,damskotrades,0,1.23,0.0,3.09,0.05,0.0,27,87,60.0,54,147
981,960,karl_0x,0,1.23,0.0,8.44,0.05,0.0,27,105,78.0,66,182
982,960,CryptoHarry_,0,1.23,0.0,3.09,0.05,0.0,27,56,29.0,34,58
983,960,ZTol008,0,1.23,0.0,0.52,0.05,0.0,27,31,4.0,8,35
